id,clienteId,marca,modelo,año,placa,color
vehicle-1759852203391spjweono2,clients-1759762003123-21890207,Hiace 23,ASDF,2025,PPP999,Blanco
vehicle-17598522033927m3vpqeka,clients-1759762003123-21890207,Hiace 27,ASDF,2025,PPP999,Blanco
vehicle-17598522033929239gcplz,clients-1759762003123-21890207,Hiace 28,ASDF,2025,PPP999,Blanco
vehicle-1759852203392gd8aahyq7,clients-1759762003123-21890207,Hiace 31,ASDF,2025,PPP999,Blanco
vehicle-1759852203393lremd48o8,clients-1759762003123-21890207,Hiace 32,ASDF,2025,PPP999,Blanco
vehicle-1759852203393v76bp4iub,clients-1759762003123-21890207,Hiace 35,ASDF,2025,PPP999,Blanco
vehicle-1759852203393i24z3e2ok,clients-1759762003123-21890207,Hiace 36,ASDF,2025,PPP999,Blanco
vehicle-175985220339438z0hxq11,clients-1759762003123-21890207,Hiace 37,ASDF,2025,PPP999,Blanco
vehicle-1760171050222addl2x3n5,clients-1760171050210oz0btxune,Hiace 2,ASDF,2025,PPP999,Blanco
vehicle-1760171050223xqln9l981,clients-1760171050210oz0btxune,Hiace 4,ASDF,2025,PPP999,Blanco
vehicle-17601710502245kv9k3qsd,clients-1760171050210oz0btxune,Hiace 5,ASDF,2025,PPP999,Blanco
vehicle-17601710502247yb0ia36j,clients-1760171050210oz0btxune,Hiace 6,ASDF,2025,PPP999,Blanco
vehicle-1760171050225orajki86x,clients-1760171050210oz0btxune,Hiace 9,ASDF,2025,PPP999,Blanco
vehicle-17601710502251rwztrcej,clients-1760171050210oz0btxune,Hiace 10,ASDF,2025,PPP999,Blanco
vehicle-1760171050226vvoledzvz,clients-1760171050210oz0btxune,Hiace 11,ASDF,2025,PPP999,Blanco
vehicle-1760171050226vwbbbgod4,clients-1760171050210oz0btxune,Hiace 15,ASDF,2025,PPP999,Blanco
vehicle-1760171050227q5qxipptq,clients-1760171050210oz0btxune,Hiace 20,ASDF,2025,PPP999,Blanco
vehicle-1760171050227z7aqvpbcw,clients-1760171050210oz0btxune,Hiace 23,ASDF,2025,PPP999,Blanco
vehicle-1760171050228n95q6zavt,clients-1760171050210oz0btxune,Hiace 27,ASDF,2025,PPP999,Blanco
vehicle-1760171050228p5qb10dwu,clients-1760171050210oz0btxune,Hiace 28,ASDF,2025,PPP999,Blanco
vehicle-17601710502290q2n40xoo,clients-1760171050210oz0btxune,Hiace 31,ASDF,2025,PPP999,Blanco
vehicle-1760171050229720jpxqwh,clients-1760171050210oz0btxune,Hiace 32,ASDF,2025,PPP999,Blanco
vehicle-1760171050229oa41bsano,clients-1760171050210oz0btxune,Hiace 35,ASDF,2025,PPP999,Blanco
vehicle-1760171050230g4riubrjm,clients-1760171050210oz0btxune,Hiace 36,ASDF,2025,PPP999,Blanco
vehicle-1760171050230kpdu5ufyy,clients-1760171050210oz0btxune,Hiace 37,ASDF,2025,PPP999,Blanco
vehicle-1760171050231qkxwy2hq0,clients-1760171050210oz0btxune,Hiace 38,ASDF,2025,PPP999,Blanco
vehicle-1760171050231b1fkzc79x,clients-1760171050210oz0btxune,Hiace 39,ASDF,2025,PPP999,Blanco
vehicle-1760171050237liodpdp7z,clients-1760171050210oz0btxune,Hiace 2,ASDF,2025,PPP999,Blanco
vehicle-1760171050238i9n8cngey,clients-1760171050210oz0btxune,Hiace 4,ASDF,2025,PPP999,Blanco
vehicle-1760171050238m0sxioj6j,clients-1760171050210oz0btxune,Hiace 5,ASDF,2025,PPP999,Blanco
vehicle-1760171050238erb2bh9ef,clients-1760171050210oz0btxune,Hiace 6,ASDF,2025,PPP999,Blanco
vehicle-1760171050238ddsszt7ee,clients-1760171050210oz0btxune,Hiace 9,ASDF,2025,PPP999,Blanco
vehicle-1760171050239jz622umra,clients-1760171050210oz0btxune,Hiace 10,ASDF,2025,PPP999,Blanco
vehicle-17601710502396ljvy6iu5,clients-1760171050210oz0btxune,Hiace 11,ASDF,2025,PPP999,Blanco
vehicle-176017105024002b63bqth,clients-1760171050210oz0btxune,Hiace 13,ASDF,2025,PPP999,Blanco
vehicle-1760171050240vd5u4idmx,clients-1760171050210oz0btxune,Hiace 15,ASDF,2025,PPP999,Blanco
vehicle-1760171050240esuuqfv2t,clients-1760171050210oz0btxune,Hiace 20,ASDF,2025,PPP999,Blanco
vehicle-17601710502412kp6q0c01,clients-1760171050210oz0btxune,Hiace 23,ASDF,2025,PPP999,Blanco
vehicle-1760171050241l7eprsfbr,clients-1760171050210oz0btxune,Hiace 27,ASDF,2025,PPP999,Blanco
vehicle-1760171050241qf8fn30l1,clients-1760171050210oz0btxune,Hiace 28,ASDF,2025,PPP999,Blanco
vehicle-1760171050242ld6owcqeb,clients-1760171050210oz0btxune,Hiace 31,ASDF,2025,PPP999,Blanco
vehicle-176017105024209r1cb7ok,clients-1760171050210oz0btxune,Hiace 32,ASDF,2025,PPP999,Blanco
vehicle-1760171050242o6yh07nvm,clients-1760171050210oz0btxune,Hiace 35,ASDF,2025,PPP999,Blanco
vehicle-1760171050243cc2y7p9vc,clients-1760171050210oz0btxune,Hiace 36,ASDF,2025,PPP999,Blanco
vehicle-1760171050243gxyk48hfy,clients-1760171050210oz0btxune,Hiace 37,ASDF,2025,PPP999,Blanco
vehicle-1760171050243afeaxp0tl,clients-1760171050210oz0btxune,Hiace 38,ASDF,2025,PPP999,Blanco
vehicle-1760171050243iwnt8lxkf,clients-1760171050210oz0btxune,Hiace 39,ASDF,2025,PPP999,Blanco
vehicle-1760171072162dud4nv5ue,clients-1760171050210oz0btxune,Hiace 2,ASDF,2025,PPP999,Blanco
vehicle-1760171072162ls2g1ki9y,clients-1760171050210oz0btxune,Hiace 4,ASDF,2025,PPP999,Blanco
vehicle-1760171072163v0r5io4aq,clients-1760171050210oz0btxune,Hiace 5,ASDF,2025,PPP999,Blanco
vehicle-1760171072164syl7spx3z,clients-1760171050210oz0btxune,Hiace 6,ASDF,2025,PPP999,Blanco
vehicle-1760171072164fted5ohcm,clients-1760171050210oz0btxune,Hiace 9,ASDF,2025,PPP999,Blanco
vehicle-17601710721654rpfgxikf,clients-1760171050210oz0btxune,Hiace 10,ASDF,2025,PPP999,Blanco
vehicle-1760171072165g8f2lb5w4,clients-1760171050210oz0btxune,Hiace 11,ASDF,2025,PPP999,Blanco
vehicle-1760171072166sqtqnlusu,clients-1760171050210oz0btxune,Hiace 15,ASDF,2025,PPP999,Blanco
vehicle-1760171072166jxoftjzu8,clients-1760171050210oz0btxune,Hiace 20,ASDF,2025,PPP999,Blanco
vehicle-1760171072166rfgub2045,clients-1760171050210oz0btxune,Hiace 23,ASDF,2025,PPP999,Blanco
vehicle-1760171072167soibkpatv,clients-1760171050210oz0btxune,Hiace 27,ASDF,2025,PPP999,Blanco
vehicle-17601710721673e4l333rk,clients-1760171050210oz0btxune,Hiace 28,ASDF,2025,PPP999,Blanco
vehicle-17601710721688fvymzrx4,clients-1760171050210oz0btxune,Hiace 31,ASDF,2025,PPP999,Blanco
vehicle-17601710721680lqd1xu04,clients-1760171050210oz0btxune,Hiace 32,ASDF,2025,PPP999,Blanco
vehicle-1760171072169pcp5w3fza,clients-1760171050210oz0btxune,Hiace 35,ASDF,2025,PPP999,Blanco
vehicle-1760171072169c8arjgsf8,clients-1760171050210oz0btxune,Hiace 36,ASDF,2025,PPP999,Blanco
vehicle-1760171072170bb0iqj09j,clients-1760171050210oz0btxune,Hiace 37,ASDF,2025,PPP999,Blanco
vehicle-1760171072170h4m00lwfr,clients-1760171050210oz0btxune,Hiace 38,ASDF,2025,PPP999,Blanco
vehicle-1760171072171tnb9qudf4,clients-1760171050210oz0btxune,Hiace 39,ASDF,2025,PPP999,Blanco
vehicle-1760171072176ckxuy6vm0,clients-1760171050210oz0btxune,Hiace 2,ASDF,2025,PPP999,Blanco
vehicle-1760171072177z91ly5jrk,clients-1760171050210oz0btxune,Hiace 4,ASDF,2025,PPP999,Blanco
vehicle-1760171072177vi1ajpemf,clients-1760171050210oz0btxune,Hiace 5,ASDF,2025,PPP999,Blanco
vehicle-1760171072177cdd89lo3b,clients-1760171050210oz0btxune,Hiace 6,ASDF,2025,PPP999,Blanco
vehicle-1760171072177tldndh271,clients-1760171050210oz0btxune,Hiace 9,ASDF,2025,PPP999,Blanco
vehicle-1760171072178nnc95x9j2,clients-1760171050210oz0btxune,Hiace 10,ASDF,2025,PPP999,Blanco
vehicle-1760171072178oj44xnoli,clients-1760171050210oz0btxune,Hiace 11,ASDF,2025,PPP999,Blanco
vehicle-1760171072179ytqwri3l4,clients-1760171050210oz0btxune,Hiace 13,ASDF,2025,PPP999,Blanco
vehicle-1760171072179kf7lo5mfk,clients-1760171050210oz0btxune,Hiace 15,ASDF,2025,PPP999,Blanco
vehicle-1760171072179j60qcobms,clients-1760171050210oz0btxune,Hiace 20,ASDF,2025,PPP999,Blanco
vehicle-1760171072180lm6r2py4f,clients-1760171050210oz0btxune,Hiace 23,ASDF,2025,PPP999,Blanco
vehicle-17601710721802yzz8gfbv,clients-1760171050210oz0btxune,Hiace 27,ASDF,2025,PPP999,Blanco
vehicle-1760171072180g0535fcsh,clients-1760171050210oz0btxune,Hiace 28,ASDF,2025,PPP999,Blanco
vehicle-1760171072181agp89rvyp,clients-1760171050210oz0btxune,Hiace 31,ASDF,2025,PPP999,Blanco
vehicle-1760171072181irutr1nz8,clients-1760171050210oz0btxune,Hiace 32,ASDF,2025,PPP999,Blanco
vehicle-17601710721810ugo23ag2,clients-1760171050210oz0btxune,Hiace 35,ASDF,2025,PPP999,Blanco
vehicle-1760171072182gqwbmvygg,clients-1760171050210oz0btxune,Hiace 36,ASDF,2025,PPP999,Blanco
vehicle-1760171072182z1uq9z8bb,clients-1760171050210oz0btxune,Hiace 37,ASDF,2025,PPP999,Blanco
vehicle-1760171072182q5uodwxfo,clients-1760171050210oz0btxune,Hiace 38,ASDF,2025,PPP999,Blanco
vehicle-1760171072182gu8rb27bs,clients-1760171050210oz0btxune,Hiace 39,ASDF,2025,PPP999,Blanco
